ProjectName :CCSES-CT-Universe,,,
,,,
FileType,Total Files Count,Total Lines Count,
162,IR9500.ERROR.TEMP.txt,22,CCSES-CT-Universe
163,IR9500.PMT.TEMP.txt,21,CCSES-CT-Universe
164,IR9500.TAPE.TEMP.txt,4,CCSES-CT-Universe
165,IR9600.TEMP.txt,10,CCSES-CT-Universe
166,IR9700.TEMP.txt,14,CCSES-CT-Universe
167,IRS.TAPE.FLE.txt,26,CCSES-CT-Universe
168,IRS.TEMP.txt,15,CCSES-CT-Universe
169,IVR.FLE.txt,46,CCSES-CT-Universe
170,JB.FLE.txt,40,CCSES-CT-Universe
171,LA.FLE.txt,5,CCSES-CT-Universe
172,LB.FLE.txt,29,CCSES-CT-Universe
173,LB.WRK.txt,29,CCSES-CT-Universe
174,LD.AUDIT.txt,10,CCSES-CT-Universe
175,LD.FLE.txt,3,CCSES-CT-Universe
176,LG.FLE.txt,8,CCSES-CT-Universe
177,LH.FLE.txt,37,CCSES-CT-Universe
178,LIC.FLE.txt,2,CCSES-CT-Universe
179,LK.FLE.txt,5,CCSES-CT-Universe
180,LR.FLE.txt,23,CCSES-CT-Universe
181,MA.HDR.txt,4,CCSES-CT-Universe
182,MD.FLE.txt,29,CCSES-CT-Universe
183,MF.FLE.txt,8,CCSES-CT-Universe
184,MI.FLE.txt,17,CCSES-CT-Universe
185,MN.FLE.txt,65,CCSES-CT-Universe
186,MP.FLE.txt,35,CCSES-CT-Universe
187,NCPR.FLE.txt,18,CCSES-CT-Universe
188,NG.FLE.txt,10,CCSES-CT-Universe
189,NIVD.FLE.txt,27,CCSES-CT-Universe
190,NM.FLE.txt,12,CCSES-CT-Universe
191,NP.FLE.txt,18,CCSES-CT-Universe
192,NR.WORK.txt,18,CCSES-CT-Universe
193,NS.WORK.txt,19,CCSES-CT-Universe
194,OA.FLE.txt,40,CCSES-CT-Universe
195,OC.FLE.txt,4,CCSES-CT-Universe
196,OC34.FLE.txt,201,CCSES-CT-Universe
197,OC34.TEMP.txt,10,CCSES-CT-Universe
198,OC34UD.WORK.txt,141,CCSES-CT-Universe
199,OC34UD.WORK1.txt,29,CCSES-CT-Universe
200,OC34UD.WORK2.txt,29,CCSES-CT-Universe
201,OC34UD.WORK3.txt,29,CCSES-CT-Universe
202,OC34UD.WORK4.txt,29,CCSES-CT-Universe
203,OC57.FLE.txt,106,CCSES-CT-Universe
204,OC57.WORK.txt,41,CCSES-CT-Universe
205,OC57S.TEMP.txt,114,CCSES-CT-Universe
206,OC57S.WORK.txt,5,CCSES-CT-Universe
207,ODE.FLE.txt,52,CCSES-CT-Universe
208,OP.FLE.txt,3,CCSES-CT-Universe
209,OR.FLE.txt,25,CCSES-CT-Universe
210,PA.FLE.txt,286,CCSES-CT-Universe
211,PA.TEMP.txt,19,CCSES-CT-Universe
212,PB.FLE.txt,19,CCSES-CT-Universe
213,PB.TEMP.txt,12,CCSES-CT-Universe
214,PE.FLE.txt,7,CCSES-CT-Universe
215,PH.DB.FLE.txt,1,CCSES-CT-Universe
216,PH.NA.FLE.txt,1,CCSES-CT-Universe
217,PH.NC.FLE.txt,1,CCSES-CT-Universe
218,PH.NX.FLE.txt,1,CCSES-CT-Universe
219,PHT.FLE.txt,10,CCSES-CT-Universe
220,PI.FLE.txt,14,CCSES-CT-Universe
221,PIN.TEMP.txt,10,CCSES-CT-Universe
222,PM.FLE.txt,20,CCSES-CT-Universe
223,PN.FLE.txt,181,CCSES-CT-Universe
224,PO.FLE.txt,109,CCSES-CT-Universe
225,PO.HIST.txt,98,CCSES-CT-Universe
226,POR.WORK.txt,10,CCSES-CT-Universe
227,PPSF.FLE.txt,3,CCSES-CT-Universe
228,PR.FLE.txt,12,CCSES-CT-Universe
229,PR.HDR.txt,4,CCSES-CT-Universe
230,PRO.HIST.txt,27,CCSES-CT-Universe
231,PT.FLE.txt,33,CCSES-CT-Universe
232,PT.TEMP.txt,5,CCSES-CT-Universe
233,PTR.TEMP.txt,90,CCSES-CT-Universe
234,PW.FLE.txt,148,CCSES-CT-Universe
235,PW.TEMP.txt,1,CCSES-CT-Universe
236,PWV.TEMP.txt,16,CCSES-CT-Universe
237,PX.FLE.txt,217,CCSES-CT-Universe
238,PX.TMP.txt,192,CCSES-CT-Universe
